datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-29 04:25:27.009537,0,57548386304,3491450880,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:29.013339,0,58789752832,2250059776,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:31.016453,0,58827608064,2212204544,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:33.019125,0,58209124352,2830684160,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:35.021998,0,57555193856,3484602368,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:37.025049,0,57559654400,3480039424,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:39.028013,0,57559273472,3480416256,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:41.029486,0,57558966272,3480350720,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:43.032158,0,57560784896,3479003136,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:45.033497,0,57564782592,3474833408,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
