datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 05:02:37.980682,0,68641103872,4290117632,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:39.984194,0,68640899072,4289867776,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:41.988205,0,69406982144,3524222976,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:43.996306,0,68639756288,4291031040,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:45.999414,0,68639129600,4292128768,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:48.002567,0,68638523392,4292718592,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:02:50.006297,0,68634296320,4295548928,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:02:52.010373,0,68632858624,4298366976,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:02:54.013598,0,68638806016,4292419584,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:02:56.016802,0,68634128384,4296597504,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:02:58.027131,0,69939712000,2991497216,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20022.4375,29117.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:00.030279,0,68637655040,4293550080,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20022.4375,29117.5625,18376.4375,30763.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:02.034178,0,68637327360,4294299648,25285.4375,23854.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20022.4375,29117.5625,19464.4375,29675.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:04.047743,0,69249466368,3681730560,25285.4375,23854.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20022.4375,29117.5625,19464.4375,29675.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:06.051220,0,68636790784,4293238784,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20022.4375,29117.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:08.055124,0,68635127808,4293967872,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:10.058875,0,68638863360,4290199552,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:12.062493,0,68636196864,4291485696,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:14.065491,0,68636553216,4292530176,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:16.068881,0,68642111488,4286152704,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:18.076329,0,68641296384,4287160320,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
2022-07-27 05:03:20.079560,0,68646019072,4283125760,26271.4375,22868.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,20024.4375,29115.5625,20828.4375,28311.5625,18418.4375,30721.5625,18614.4375,30525.5625
